country,region,total_2006,total_2023,ratio_2023_2006,change_category,change_level,NumericSize,country_plot
Rwanda,Africa,92.9,82.30000000000001,0.8858988159311088,3_no_change,3,1.1141011840688912,Rwanda
Saudi Arabia,Middle East,77.2,65.3,0.8458549222797926,2_small_decrease,2,1.1541450777202074,Saudi Arabia
Senegal,Africa,66.1,71.50000000000001,1.0816944024205752,3_no_change,3,1.0816944024205752,Senegal
Serbia,Europe,83.8,67.9,0.8102625298329357,2_small_decrease,2,1.1897374701670644,Serbia
Sierra Leone,Africa,96.6,81.39999999999999,0.8426501035196687,2_small_decrease,2,1.1573498964803313,Sierra Leone
Singapore,East and Southeast Asia,30.8,25.5,0.827922077922078,2_small_decrease,2,1.172077922077922,Singapore
Slovakia,Europe,49.9,37.8,0.7575150300601202,1_big_decrease,1,1.2424849699398797,SLOVAKIA
Slovenia,Europe,36.8,27.3,0.7418478260869567,1_big_decrease,1,1.2581521739130435,SLOVENIA
Somalia,Africa,105.9,111.9,1.0566572237960339,3_no_change,3,1.0566572237960339,Somalia
South Africa,Africa,55.7,72.0,1.2926391382405744,5_big_increase,5,1.2926391382405744,SOUTH AFRICA
South Korea,East and Southeast Asia,39.9,31.5,0.7894736842105263,1_big_decrease,1,1.2105263157894737,SOUTH KOREA
Spain,Europe,37.4,43.49999999999999,1.1631016042780746,4_small_increase,4,1.1631016042780746,Spain
Sri Lanka,South Asia,92.4,90.3,0.9772727272727272,3_no_change,3,1.022727272727273,Sri Lanka
Sudan,Africa,112.3,106.2,0.9456812110418522,3_no_change,3,1.0543187889581478,Sudan
Sweden,Europe,18.2,20.6,1.131868131868132,3_no_change,3,1.131868131868132,Sweden
Switzerland,Europe,18.7,17.799999999999997,0.9518716577540106,3_no_change,3,1.0481283422459895,Switzerland
Syria,Middle East,88.6,107.1,1.208803611738149,5_big_increase,5,1.208803611738149,SYRIA
Tajikistan,Central Asia,87.7,74.2,0.8460661345496009,2_small_decrease,2,1.1539338654503992,Tajikistan
Tanzania,Africa,78.3,76.6,0.9782886334610472,3_no_change,3,1.0217113665389528,Tanzania
Thailand,East and Southeast Asia,74.9,68.0,0.9078771695594124,3_no_change,3,1.0921228304405877,Thailand
Togo,Africa,88.3,82.1,0.9297848244620611,3_no_change,3,1.070215175537939,Togo
Tunisia,Africa,65.4,66.39999999999999,1.0152905198776756,3_no_change,3,1.0152905198776756,Tunisia
Turkey,Middle East,74.4,81.19999999999999,1.0913978494623653,3_no_change,3,1.0913978494623653,Turkey
Turkmenistan,Central Asia,86.1,64.5,0.7491289198606272,1_big_decrease,1,1.2508710801393728,TURKMENISTAN
Uganda,Africa,94.5,91.5,0.9682539682539683,3_no_change,3,1.0317460317460316,Uganda
Ukraine,Europe,72.9,95.9,1.3155006858710563,5_big_increase,5,1.3155006858710563,UKRAINE
United Kingdom,Europe,34.2,41.9,1.2251461988304093,5_big_increase,5,1.2251461988304093,UNITED KINGDOM
United States,North America,34.5,45.3,1.3130434782608695,5_big_increase,5,1.3130434782608695,UNITED STATES
Uruguay,South America,41.2,34.4,0.8349514563106796,2_small_decrease,2,1.1650485436893203,Uruguay
Uzbekistan,Central Asia,94.4,66.80000000000001,0.7076271186440679,1_big_decrease,1,1.292372881355932,UZBEKISTAN
Venezuela,South America,81.2,90.5,1.1145320197044335,3_no_change,3,1.1145320197044335,Venezuela
Vietnam,East and Southeast Asia,78.6,58.3,0.7417302798982188,1_big_decrease,1,1.2582697201017812,VIETNAM
Yemen,Middle East,96.6,108.9,1.127329192546584,3_no_change,3,1.127329192546584,Yemen
Zambia,Africa,79.6,81.8,1.0276381909547738,3_no_change,3,1.0276381909547738,Zambia
Zimbabwe,Africa,108.9,96.9,0.8898071625344353,3_no_change,3,1.1101928374655647,Zimbabwe
