country,region,c1_security_apparatus_variability,c1_security_apparatus_growth,c2_factionalized_elites_variability,c2_factionalized_elites_growth,c3_group_grievance_variability,c3_group_grievance_growth,e1_economy_variability,e1_economy_growth,e2_economic_inequality_variability,e2_economic_inequality_growth,e3_human_flight_and_brain_drain_variability,e3_human_flight_and_brain_drain_growth,p1_state_legitimacy_variability,p1_state_legitimacy_growth,p2_public_services_variability,p2_public_services_growth,p3_human_rights_variability,p3_human_rights_growth,s1_demographic_pressures_variability,s1_demographic_pressures_growth,s2_refugees_and_idps_variability,s2_refugees_and_idps_growth,x1_external_intervention_variability,x1_external_intervention_growth
Bahamas,Central America and the Caribbean,0.09488938346902008,-0.014135635971696647,0.0585446857181995,-0.010174722681528636,0.2194920974934172,-0.05083711458989093,0.10815830124006386,0.021536546256682998,0.19954245086886455,-0.026305234922536447,0.13131514764496868,-0.012718083641422684,0.33821869675300825,-0.07622057913020241,0.1081444170541021,0.016174402498950524,0.18854087447721735,0.0256653964664324,0.05409296023953745,0.003054039365340433,0.15694717475220057,-0.02253245976944751,0.16165126366644428,-0.014744694744816877
Bahrain,Middle East,0.1875649799780888,0.028134208789176274,0.08955846399038404,0.0148839780588772,0.161773212872521,0.029137188976917194,0.08470576501113272,0.0017622307171991647,0.11504132825230302,0.008222890164470753,0.0879160315185287,-0.0130220035751627,0.083582602042375,0.010209194924468257,0.23703934591002945,-0.015111044960867459,0.21450477030860984,0.03923517329065662,0.11564859676151155,-0.015916955258049148,0.23352034785148118,-0.057320428061756856,0.07344004894726483,0.0
Bangladesh,South Asia,0.060279957677820184,-0.011656989493412984,0.029964533181442345,0.002589412836842664,0.053175888959100845,-0.004492237060631066,0.1366109858075481,-0.018455202151988148,0.17513514253410395,-0.02453357985051674,0.07490981208588919,-0.013040319809382916,0.0721666810846322,-0.010667491864796208,0.03917037117051546,0.003061130953006419,0.04509348520642724,-0.003889439140286499,0.09047277677001157,-0.009134742902757398,0.08444503714132612,0.015235190241646102,0.08551180662477557,-0.015508089683340054
Barbados,Central America and the Caribbean,0.08174122989985252,-0.011564009337915793,0.04890204739254801,-0.008310983263587257,0.23990628747446346,-0.056170081040992415,0.07421467600395595,0.0114602687305434,0.19515060574200863,-0.02582994481008416,0.1247045032729422,-0.01871520877840227,0.48127073897212086,-0.0966298976524349,0.14010987648320694,0.018751869045096292,0.09720324538987284,-0.008903925895985432,0.07115672217219754,-0.006395346787251288,0.26859176026080034,-0.03915531142182105,0.05287941842042919,0.004730375097747874
Belarus,Europe,0.07866377801692331,-0.013468689663272304,0.05657985959866709,0.010782514247816843,0.0865634488273216,-0.002176526258312994,0.10941045145643939,-0.010115712783983488,0.2770207928249929,-0.054135080613388564,0.16424071894847592,0.01620599392287647,0.027805528420944626,0.002561222100803562,0.2985154713119937,-0.05832693764161889,0.045458222504892745,0.007580420341720684,0.20877986695817616,-0.036301680538228465,0.19143736919435742,-0.027044607272269205,0.05032661660584507,0.0
Belgium,Europe,0.21693312881447038,0.05284725012617786,0.24818820933046626,0.06534886637037896,0.09746764876176643,0.0,0.22007700488565754,0.05021473658191811,0.317820863081864,-0.034555712844051456,0.29018561439241053,0.06016713994038114,0.3554924444496766,-0.036301680538228465,0.2394797711042139,0.05537848359662534,0.2712436676302117,-0.023568704168698162,0.30569157633411215,0.019989654407636115,0.16826380092083795,0.019989654407636115,0.501427052750246,-0.05247262897373173
Belize,Central America and the Caribbean,0.10798765041434356,0.011089565722897543,0.05441903085730878,-0.009382141084694151,0.08958064164776171,-0.006298587513711595,0.10091058812554551,0.008773383899422393,0.2255493294159838,-0.04562719229720824,0.0976479475925553,-0.019928958578122935,0.18842962138398678,-0.03969244072080713,0.05043662090652101,-0.0033734982543347503,0.15027103687408827,0.02453140856895919,0.16813916962154832,-0.017202304862097506,0.23212407658594278,-0.03379368991620668,0.08786245364801863,0.005359446564686454
Benin,Africa,0.07272315518007018,-0.0032939434169473314,0.2130564117640024,0.033921860908464385,0.16526487299404,-0.02502180421798561,0.06218613778248339,0.002657668608236463,0.04857260731171907,0.0039046259452661936,0.057565020206388096,-0.007222768372596278,0.11278594283353104,-0.011933829411094332,0.032855036967912234,0.003661497617857279,0.06482055978189581,0.010160105556126009,0.08517290171436728,0.01706647103818071,0.12317716496530201,0.008608121633093102,0.11570033806190784,-0.018235930114914978
Bhutan,South Asia,0.22097128622808732,-0.035597213671166306,0.031186012989878185,-0.0066442221483079544,0.10109692495468948,0.019374456239773075,0.18822820864157866,-0.020762311659783372,0.23754519274508054,-0.04251729510276592,0.07092732210830108,-0.011542249671272375,0.3499830969440002,-0.06258036949582624,0.09291146756831183,-0.00405018001223012,0.17747065745057153,-0.031397946429320034,0.08727480216906536,-0.006178511404421272,0.10157095922822952,-0.019455667550283717,0.08990682514166856,-0.0017810796092256886
Bolivia,South America,0.06070248891448591,-0.011933829411094443,0.03240211759732737,-0.0014164988511701226,0.1128852899639236,-0.005257434512123016,0.0969589141094174,-0.004933854076711874,0.04166522352620642,-0.008586656043256258,0.06682502767082746,-0.013040319809382916,0.04742989735743577,-0.005257434512123016,0.07599840161728062,-0.012484595041411639,0.06613484963883054,-0.009463253703739016,0.08269581491071384,-0.004892791633490323,0.16168597117608002,-0.02502180421798561,0.14996954746524704,-0.023568704168698162
Bosnia and Herzegovina,Europe,0.16123903641936263,-0.03088354993002773,0.022509225687923108,0.0,0.10620387935560519,-0.01723008253867031,0.06729847553266487,0.003684438976750082,0.21196665639166717,-0.0362046899430466,0.08181590694774027,0.009951265129853892,0.10077461960805434,-0.013761263800500245,0.19052652912379614,-0.01880755867973949,0.10562571500781505,-0.01222418761226629,0.22345952141013645,-0.003729112216074082,0.070918983371101,-0.00971632016920898,0.07867044150947243,-0.020762311659783372
