country,region,fragility.Average_HumanRights,fragility.Volatility_HumanRights
Czechia,Europe,-0.026510403888235667,0.21607450197323935
Denmark,Europe,-0.05247262897373173,0.2492626097597137
Djibouti,Africa,0.017342622530643448,0.0818743377774448
Dominican Republic,Central America and the Caribbean,-0.03178437114593469,0.15227625493954694
Ecuador,South America,-0.025750447737745596,0.17120519599849146
Egypt,Africa,0.008255178341549874,0.07512175520575201
El Salvador,Central America and the Caribbean,-0.012608576934514226,0.08834494648199745
Equatorial Guinea,Africa,-0.002111415421399143,0.05771267214662322
Eritrea,Africa,0.01728604521965882,0.08379618687479651
Estonia,Europe,-0.0596729719767074,0.37445805362432283
Eswatini,Africa,0.005592525970229856,0.06027129648553037
Ethiopia,Africa,0.005622226892775695,0.03460412082153012
Fiji,Australia and Oceania,-0.005519299721906568,0.09385539672175351
Finland,Europe,-0.06258036949582624,0.4145838661715322
France,Europe,-0.060882011869072494,0.3244129182832619
Gabon,Africa,-0.0009560439262671361,0.0650023472937733
Gambia,Africa,0.002618231159139839,0.10796698936166507
Georgia,Central Asia,-0.0066442221483079544,0.14185554895036892
Germany,Europe,-0.08021094420407326,0.4792305145326578
Ghana,Africa,-0.008586656043256258,0.08215953386868244
Greece,Europe,0.015552898761765688,0.09206355941985785
Grenada,Central America and the Caribbean,-0.07363408377172675,0.3169891690526454
Guatemala,Central America and the Caribbean,0.004011168183852387,0.03761731110061341
Guinea,Africa,-0.006098370960611277,0.10475886185537465
Guinea Bissau,Africa,-0.016052312531631308,0.08173279710769119
Guyana,South America,-0.03070565138914194,0.21331807318248336
Haiti,Central America and the Caribbean,-0.005773859351466015,0.09562662033346118
Honduras,Central America and the Caribbean,0.01812594285547031,0.08492731278364048
Hungary,Europe,0.02105217128686121,0.20688313451426674
Iceland,Europe,-0.0984495312190864,0.4780143642468329
India,South Asia,0.019511681103413947,0.1240081333782347
Indonesia,East and Southeast Asia,-0.008382367076814168,0.059330230764711285
Iran,Middle East,0.004968794520933129,0.037332984473944245
Iraq,Middle East,-0.012741783255510786,0.07027322845463622
Ireland,Europe,0.0038035989884424026,0.14364650477072574
Israel,Middle East,0.0,0.0
Israel and West Bank,Middle East,-0.004194073065132087,0.05705211898692818
Italy,Europe,-0.05404148620000582,0.40308813147314526
Jamaica,Central America and the Caribbean,-0.00434980455605416,0.04547230168699161
Japan,East and Southeast Asia,-0.00405018001223012,0.06206015351418115
Jordan,Middle East,0.00980019603886162,0.07209696979563804
Kazakhstan,Central Asia,0.0008347384940639024,0.038759734138895635
